Cosine Simularity,Euclid Distance 2D
tensor(0.8663),0.2761806724855839
tensor(0.8762),0.23942659748857184
tensor(0.8918),0.26825137085486267
tensor(0.9019),0.2749818068081414
tensor(0.9068),0.273617235956126
tensor(0.8324),0.3623255696944709
tensor(0.8895),0.2165535767666269
tensor(0.8901),0.25783853787353567
tensor(0.8720),0.22879826655724628
tensor(0.8801),0.2274767800283647
tensor(0.8787),0.19576372689277663
tensor(0.8790),0.24669990178724255
tensor(0.8687),0.2053529084946618
tensor(0.8911),0.23765196464469995
tensor(0.8992),0.25352826436223924
tensor(0.8931),0.2411617391269342
tensor(0.8786),0.23729433601313313
tensor(0.8801),0.2804602882671515
tensor(0.8997),0.26873270100566593
tensor(0.8678),0.2089104639501861
tensor(0.8787),0.21179363738674242
tensor(0.8889),0.26232316798854793
tensor(0.8848),0.2931802050451017
tensor(0.8912),0.2976709972446584
tensor(0.8817),0.22410840725210435
tensor(0.8637),0.21752575258490328
tensor(0.8821),0.20859757104470555
tensor(0.8729),0.18857460061822323
tensor(0.8790),0.2412794451921949
tensor(0.8697),0.24091827427946255
tensor(0.8739),0.20711402659358336
tensor(0.8740),0.2688728368724483
tensor(0.9014),0.23931556248628472
tensor(0.8867),0.2554011522875385
tensor(0.8848),0.2629235628095715
tensor(0.8862),0.2701115200842336
tensor(0.8788),0.2094252184933746
tensor(0.8693),0.20290399493296002
tensor(0.8763),0.20926901123239625
tensor(0.8845),0.18585117669128956
tensor(0.8670),0.22777735990836057
tensor(0.8856),0.2028727456544677
tensor(0.8840),0.1807512128717278
tensor(0.8895),0.23958916166341704
tensor(0.8878),0.193176420186291
tensor(0.8756),0.24664326617243415
tensor(0.8880),0.23066975735244644
tensor(0.8987),0.2694189833013439
tensor(0.9105),0.28514679825178507
tensor(0.8841),0.29447647282160505
